cell_id,pred_cell_type
dmfdeccp-1,Fibroblasts (Stromal cells)
dmfdhmlf-1,Possible Mast Cells / Neuroendocrine-like
dmfdmifc-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmfeenfi-1,CD4+ T cells (naive/central memory)
dmfhfcff-1,B cells
dmfkcmfa-1,B cells
dmfkncon-1,Cytotoxic/NK-like T cells
dmflpjfa-1,Fibroblasts (Stromal cells)
dmfolmol-1,Possible Mast Cells / Neuroendocrine-like
dmfpghfb-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmgaemab-1,B cells
dmgcglib-1,CD4+ T cells (naive/central memory)
dmgckbid-1,Possible Mast Cells / Neuroendocrine-like
dmgdfifn-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmgdikff-1,Possible Mast Cells / Neuroendocrine-like
dmgdlgbh-1,Possible Mast Cells / Neuroendocrine-like
dmgfkbeg-1,Fibroblasts (Stromal cells)
dmggfeoo-1,Possible Mast Cells / Neuroendocrine-like
dmgheonb-1,Possible Mast Cells / Neuroendocrine-like
dmgiemjl-1,Possible Mast Cells / Neuroendocrine-like
dmgliica-1,Fibroblasts (Stromal cells)
dmglipof-1,CD4+ T cells (naive/central memory)
dmglnmng-1,Possible Mast Cells / Neuroendocrine-like
dmgmpjbc-1,B cells
dmgopfpb-1,B cells
dmhcdfao-1,Fibroblasts (Stromal cells)
dmhconmf-1,Fibroblasts (Stromal cells)
dmhdanic-1,CD8+ Effector T cells (GZMK+ subset)
dmhdjgdc-1,Macrophages
dmhkajeg-1,Possible Mast Cells / Neuroendocrine-like
dmhkhnjd-1,Fibroblasts (Stromal cells)
dmhlbmll-1,B cells
dmhpnfgi-1,Macrophages
dmiabehp-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmicibjj-1,CD14+ Monocytes / Macrophages
dmiclflc-1,Possible Mast Cells / Neuroendocrine-like
dmidmhhf-1,Fibroblasts (Stromal cells)
dmifhlhm-1,Macrophages (possibly FCGR1A+ subset)
dmigbkop-1,Fibroblasts (Stromal cells)
dmigeffo-1,Possible Mast Cells / Neuroendocrine-like
dmihfmim-1,Endothelial Cells
dmijkkff-1,B cells
dmillakf-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmimkacn-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmimpmeh-1,CD8+ Cytotoxic T cells
dmingccd-1,B cells
dmipiahj-1,CD4+ T cells (naive/central memory)
dmipnpej-1,CD14+ Monocytes / Macrophages
dmjbaonk-1,Fibroblasts (Stromal cells)
dmjbfmpk-1,Endothelial Cells
dmjcccli-1,Macrophages (possibly FCGR1A+ subset)
dmjfapin-1,Naive/Central Memory T cells
dmjhmaja-1,Possible Mast Cells / Neuroendocrine-like
dmjhmope-1,Endothelial Cells
dmjkeaco-1,Possible Mast Cells / Neuroendocrine-like
dmjmdjho-1,Fibroblasts (Stromal cells)
dmjmikop-1,Fibroblasts (Stromal cells)
dmjmmjhl-1,Fibroblasts (Stromal cells)
dmjmoiga-1,Cytotoxic/NK-like T cells
dmjocoio-1,Macrophages (possibly FCGR1A+ subset)
dmkaojcc-1,Possible Mast Cells / Neuroendocrine-like
dmkeefbp-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmkfkdam-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmkgeoja-1,CD14+ Monocytes / Macrophages
dmkhkhai-1,CD14+ Monocytes / Macrophages
dmklcjnf-1,Macrophages
dmklpcna-1,Endothelial Cells
dmkmloha-1,Possible Mast Cells / Neuroendocrine-like
dmkmobeo-1,Endothelial Cells
dmkoipip-1,Possible Mast Cells / Neuroendocrine-like
dmladdla-1,Fibroblasts (Stromal cells)
dmlaocfi-1,Natural Killer (NK) cells
dmlbdiho-1,Fibroblasts (Stromal cells)
dmlbpjnn-1,Macrophages
dmleogap-1,Possible Mast Cells / Neuroendocrine-like
dmlfaanp-1,B cells
dmlgdhdm-1,Naive/Central Memory T cells
dmlkjmba-1,CD4+ T cells (naive/central memory)
dmlkkcjp-1,B cells
dmllkhpd-1,CD8+ Cytotoxic T cells
dmlllcjn-1,B cells
dmlmfkac-1,CD8+ Cytotoxic T cells
dmlmgeek-1,CD14+ Monocytes / Macrophages
dmlmjjgf-1,CD8+ Cytotoxic T cells
dmlogmcn-1,B cells
dmmaakfe-1,CD4+ T cells (naive/central memory)
dmmenlog-1,Natural Killer (NK) cells
dmmfdggb-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmmfkibl-1,Cytotoxic/NK-like T cells
dmmghgbj-1,CD4+ T cells (naive/central memory)
dmmgjbkd-1,Possible Mast Cells / Neuroendocrine-like
dmmjdile-1,Possible Mast Cells / Neuroendocrine-like
dmmjhagl-1,B cells
dmmljiip-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmmlkgba-1,Cytotoxic/NK-like T cells
dmmlneoc-1,Possible Mast Cells / Neuroendocrine-like
dmmmbieb-1,Possible Mast Cells / Neuroendocrine-like
dmmnfncj-1,Possible Mast Cells / Neuroendocrine-like
dmmnkcje-1,Naive/Central Memory T cells
dmmofegb-1,B cells
dmmoiehl-1,Macrophages (possibly FCGR1A+ subset)
dmmpcamd-1,B cells
dmmpoaac-1,Fibroblasts (Stromal cells)
dmmpopdo-1,Cytotoxic/NK-like T cells
dmnadfak-1,CD14+ Monocytes / Macrophages
dmnaenbg-1,Fibroblasts (Stromal cells)
dmnbcepg-1,B cells
dmnbngie-1,Possible Mast Cells / Neuroendocrine-like
dmnccjkf-1,Fibroblasts (Stromal cells)
dmndabmd-1,CD4+ T cells (naive/central memory)
dmndahbp-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmnghigi-1,B cells
dmngjafe-1,Cytotoxic/NK-like T cells
dmniejbc-1,Possible Mast Cells / Neuroendocrine-like
dmnijnnd-1,Fibroblasts (Stromal cells)
dmnipnpj-1,Fibroblasts (Stromal cells)
dmnjhioj-1,CD4+ T cells (naive/central memory)
dmnjoodi-1,Fibroblasts (Stromal cells)
dmnmcgjd-1,CD4+ T cells (naive/central memory)
dmnmokdl-1,Naive/Central Memory T cells
dmnnchkk-1,CD4+ T cells (naive/central memory)
dmnngdbb-1,Naive/Central Memory T cells
dmnolhbc-1,Fibroblasts (Stromal cells)
dmnpklnp-1,Fibroblasts (Stromal cells)
dmoabcap-1,CD4+ T cells (naive/central memory)
dmoaobdl-1,Possible Mast Cells / Neuroendocrine-like
dmoapaad-1,Smooth Muscle Cells (and/or Myofibroblasts)
dmobbdbe-1,Fibroblasts (Stromal cells)
dmockkmg-1,B cells
dmoeafkj-1,CD4+ T cells (naive/central memory)
dmoeched-1,Fibroblasts (Stromal cells)
dmoeippc-1,Possible Mast Cells / Neuroendocrine-like
dmofanpk-1,CD4+ T cells (naive/central memory)
dmogckgo-1,Fibroblasts (Stromal cells)
dmogello-1,CD4+ T cells (naive/central memory)
dmoghccn-1,B cells
dmoglook-1,CD4+ T cells (naive/central memory)
dmohjfdk-1,CD4+ T cells (naive/central memory)
dmoimhmh-1,Anti-inflammatory Macrophages (M2-like)
dmoimkeg-1,Cytotoxic/NK-like T cells
dmoldghp-1,CD4+ T cells (naive/central memory)
dmonbjnh-1,Naive/Central Memory T cells
dmonnggp-1,CD8+ Cytotoxic T cells
dmoogaco-1,Macrophages (possibly FCGR1A+ subset)
dmoonnfm-1,B cells
dmopmohb-1,Possible Mast Cells / Neuroendocrine-like
dmopnnkk-1,Naive/Central Memory T cells
dmpaooip-1,CD4+ T cells (naive/central memory)
dmpbeggl-1,Fibroblasts (Stromal cells)
dmpbjbpj-1,CD4+ T cells (naive/central memory)
dmpdiihe-1,CD4+ T cells (naive/central memory)
dmpdomil-1,CD4+ T cells (naive/central memory)
dmpeipne-1,Possible Mast Cells / Neuroendocrine-like
dmphabdb-1,CD4+ T cells (naive/central memory)
dmphaelb-1,Possible Mast Cells / Neuroendocrine-like
dmpihlec-1,CD4+ T cells (naive/central memory)
dmpillpf-1,CD4+ T cells (naive/central memory)
dmpkdpdh-1,Endothelial Cells
dmplialc-1,Natural Killer (NK) cells
dmpmbfnk-1,Fibroblasts (Stromal cells)
dmpmofoe-1,B cells
dmpmpomn-1,Endothelial Cells
dmpppkbj-1,Endothelial Cells
dnaagnje-1,Endothelial Cells
dnadcjpm-1,CD4+ T cells (naive/central memory)
dnaiaepc-1,Possible Mast Cells / Neuroendocrine-like
dnaihdja-1,CD4+ T cells (naive/central memory)
dnajfeik-1,CD4+ T cells (naive/central memory)
dnakodkb-1,CD4+ T cells (naive/central memory)
dnalpalo-1,B cells
dnamhnbi-1,Natural Killer (NK) cells
dnankpei-1,CD4+ T cells (naive/central memory)
dnapaijc-1,Macrophages
dnapdbnf-1,Natural Killer (NK) cells
dnapljne-1,B cells
dnbbbbkf-1,CD4+ T cells (naive/central memory)
dnbchnhi-1,CD4+ T cells (naive/central memory)
dnbdghdb-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnbfagho-1,Naive/Central Memory T cells
dnbfokcn-1,Fibroblasts (Stromal cells)
dnbhcmmd-1,CD4+ T cells (naive/central memory)
dnbihcnm-1,CD4+ T cells (naive/central memory)
dnbjglll-1,Cytotoxic/NK-like T cells
dnbkgnno-1,Possible Mast Cells / Neuroendocrine-like
dnblhdko-1,Macrophages
dnblocgj-1,B cells
dnbohana-1,CD4+ T cells (naive/central memory)
dncbahib-1,Cytotoxic/NK-like T cells
dncbjjek-1,Macrophages
dncdkifj-1,Possible Mast Cells / Neuroendocrine-like
dncdlnof-1,CD4+ T cells (naive/central memory)
dncfpjcj-1,Naive/Central Memory T cells
dnchgfbi-1,CD4+ T cells (naive/central memory)
dnchhaic-1,CD4+ T cells (naive/central memory)
dncjejcc-1,Naive/Central Memory T cells
dnckfcim-1,CD14+ Monocytes / Macrophages
dnckmmdb-1,B cells
dnclolge-1,Possible Mast Cells / Neuroendocrine-like
dnclplhl-1,CD4+ T cells (naive/central memory)
dncobbla-1,Naive/Central Memory T cells
dncocaag-1,Endothelial Cells
dndegomh-1,CD4+ T cells (naive/central memory)
dndehnfd-1,Cytotoxic/NK-like T cells
dndenacp-1,CD4+ T cells (naive/central memory)
dndffonj-1,CD4+ T cells (naive/central memory)
dndfjkjj-1,Plasma Cells (differentiated B cells)
dndglome-1,Fibroblasts (Stromal cells)
dndgndnj-1,Smooth Muscle Cells (and/or Myofibroblasts)
dndhdpnc-1,Natural Killer (NK) cells
dndlpamn-1,Fibroblasts (Stromal cells)
dndlpmke-1,CD8+ Cytotoxic T cells
dndoeoog-1,CD4+ T cells (naive/central memory)
dndpjima-1,Naive/Central Memory T cells
dneadbkb-1,Possible Mast Cells / Neuroendocrine-like
dnecefgb-1,CD4+ T cells (naive/central memory)
dnehoddh-1,Natural Killer (NK) cells
dnehpbld-1,Naive/Central Memory T cells
dnehppfa-1,Fibroblasts (Stromal cells)
dneijfjc-1,Possible Mast Cells / Neuroendocrine-like
dneijjol-1,Possible Mast Cells / Neuroendocrine-like
dnejkmld-1,Cytotoxic/NK-like T cells
dneklknp-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnemaalc-1,Possible Mast Cells / Neuroendocrine-like
dnemniii-1,Macrophages (possibly FCGR1A+ subset)
dnempmln-1,Macrophages
dnennnll-1,Macrophages
dnfapahe-1,Cytotoxic/NK-like T cells
dnfcicld-1,B cells
dnfdiaic-1,Possible Mast Cells / Neuroendocrine-like
dnfdmchd-1,CD8+ Cytotoxic T cells
dnfeeiee-1,CD4+ T cells (naive/central memory)
dnfhnnld-1,CD4+ T cells (naive/central memory)
dnfibacm-1,CD8+ Cytotoxic T cells
dnfkcmfp-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnfmndbo-1,Cytotoxic/NK-like T cells
dnfnpgmp-1,Naive/Central Memory T cells
dngainjd-1,B cells
dngbihca-1,Natural Killer (NK) cells
dngbjjcd-1,Cytotoxic/NK-like T cells
dngbppip-1,Smooth Muscle Cells (and/or Myofibroblasts)
dngclhci-1,B cells
dngdlodh-1,Possible Mast Cells / Neuroendocrine-like
dnggdmnk-1,CD14+ Monocytes / Macrophages
dngicmbn-1,CD8+ Cytotoxic T cells
dngjgcbc-1,Macrophages (possibly FCGR1A+ subset)
dngladpb-1,Endothelial Cells
dnglgdga-1,CD4+ T cells (naive/central memory)
dngnepmg-1,Naive/Central Memory T cells
dngnippj-1,Endothelial Cells
dngoojac-1,Smooth Muscle Cells (and/or Myofibroblasts)
dngpkloh-1,CD4+ T cells (naive/central memory)
dngpmalm-1,Possible Mast Cells / Neuroendocrine-like
dnhadmap-1,Endothelial Cells
dnhaglbn-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnhbgimm-1,Anti-inflammatory Macrophages (M2-like)
dnhbgpjc-1,Fibroblasts (Stromal cells)
dnhcimif-1,Endothelial Cells
dnhcnpod-1,Macrophages (possibly FCGR1A+ subset)
dnhdeohb-1,B cells
dnheaigj-1,B cells
dnhfikip-1,Endothelial Cells
dnhflfdc-1,B cells
dnhflmdh-1,Fibroblasts (Stromal cells)
dnhgpdck-1,B cells
dnhhbldk-1,Macrophages (possibly FCGR1A+ subset)
dnhibcod-1,Macrophages (possibly FCGR1A+ subset)
dnhikaoa-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnhjflgb-1,CD4+ T cells (naive/central memory)
dnhlfhck-1,Endothelial Cells
dnhmjpjc-1,CD4+ T cells (naive/central memory)
dnhmoelh-1,Macrophages (possibly FCGR1A+ subset)
dnhnjooj-1,Fibroblasts (Stromal cells)
dnhnpdbi-1,Fibroblasts (Stromal cells)
dnicbhge-1,Fibroblasts (Stromal cells)
dnicbkom-1,Endothelial Cells
dnickbkm-1,Possible Mast Cells / Neuroendocrine-like
dniclnao-1,Smooth Muscle Cells (and/or Myofibroblasts)
dniehjha-1,CD4+ T cells (naive/central memory)
dnifcjja-1,CD4+ T cells (naive/central memory)
dnigfbhh-1,Anti-inflammatory Macrophages (M2-like)
dnihakfd-1,Possible Mast Cells / Neuroendocrine-like
dnihelon-1,Fibroblasts (Stromal cells)
dnihfbmi-1,Plasma Cells (differentiated B cells)
dnihnanf-1,CD4+ T cells (naive/central memory)
dniifpad-1,Fibroblasts (Stromal cells)
dnijleap-1,Fibroblasts (Stromal cells)
dniklegj-1,CD8+ Cytotoxic T cells
dninjlkg-1,Naive/Central Memory T cells
dnioeidp-1,CD14+ Monocytes / Macrophages
dniofonk-1,Fibroblasts (Stromal cells)
dniphomk-1,CD4+ T cells (naive/central memory)
dnjabcop-1,Natural Killer (NK) cells
dnjcdmpd-1,CD8+ Cytotoxic T cells
dnjfmpjk-1,CD4+ T cells (naive/central memory)
dnjidnop-1,Natural Killer (NK) cells
dnjjefon-1,Naive/Central Memory T cells
dnjjfpfk-1,CD14+ Monocytes / Macrophages
dnjjpima-1,CD8+ Cytotoxic T cells
dnjkeleh-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnjmlofj-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnjnmbjj-1,Endothelial Cells
dnjoknbd-1,CD4+ T cells (naive/central memory)
dnjpmfmo-1,Naive/Central Memory T cells
dnkadhpn-1,CD8+ Cytotoxic T cells
dnkadllp-1,Possible Mast Cells / Neuroendocrine-like
dnkbdncp-1,Fibroblasts (Stromal cells)
dnkcjmje-1,Macrophages
dnkdcahp-1,CD4+ T cells (naive/central memory)
dnkdgokp-1,CD14+ Monocytes / Macrophages
dnkdlohh-1,B cells
dnkfelbo-1,Fibroblasts (Stromal cells)
dnkfhfdd-1,Smooth Muscle Cells
dnkfnomb-1,Anti-inflammatory Macrophages (M2-like)
dnkgfkhm-1,CD4+ T cells (naive/central memory)
dnkhaohc-1,CD4+ T cells (naive/central memory)
dnkijbma-1,B cells
dnkjjfnj-1,Possible Mast Cells / Neuroendocrine-like
dnklakck-1,Possible Mast Cells / Neuroendocrine-like
dnkldbdn-1,Possible Mast Cells / Neuroendocrine-like
dnkmdoea-1,CD8+ Cytotoxic T cells
dnkoemfj-1,Fibroblasts (Stromal cells)
dnkpadia-1,Fibroblasts / Myofibroblasts (Stromal cells)
dnkpgoap-1,Macrophages (possibly FCGR1A+ subset)
dnkpobig-1,Natural Killer (NK) cells
dnlbgjki-1,Fibroblasts (Stromal cells)
dnlchoek-1,Endothelial Cells
dnlcmhog-1,Endothelial Cells
dnldepkk-1,Endothelial Cells
dnlfdphn-1,Macrophages (possibly FCGR1A+ subset)
dnlgfnhf-1,Endothelial Cells
dnlghimc-1,CD4+ T cells (naive/central memory)
dnliilgf-1,Macrophages (possibly FCGR1A+ subset)
dnlijica-1,Macrophages
dnljbddg-1,Endothelial Cells
dnljnbfc-1,B cells
dnlldlad-1,B cells
dnllgofb-1,CD8+ Cytotoxic T cells
dnlpdmgc-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnmahaed-1,Endothelial Cells
dnmbajne-1,Anti-inflammatory Macrophages (M2-like)
dnmcihkd-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnmdplnp-1,Endothelial Cells
dnmfdgod-1,Smooth Muscle Cells
dnmficjh-1,Anti-inflammatory Macrophages (M2-like)
dnmfkdpo-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnmfoeem-1,Endothelial Cells
dnmkdgih-1,CD4+ T cells (naive/central memory)
dnmljobi-1,Endothelial Cells
dnmnblji-1,Endothelial Cells
dnmnhace-1,Smooth Muscle Cells
dnmnnnmn-1,Anti-inflammatory Macrophages (M2-like)
dnmnogbi-1,CD14+ Monocytes / Macrophages
dnmpcdkp-1,Macrophages
dnmpjcio-1,Fibroblasts (Stromal cells)
dnnajoja-1,Endothelial Cells
dnnalbha-1,Endothelial Cells
dnndijlp-1,Endothelial Cells
dnnekocf-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnnfmajd-1,Endothelial Cells
dnnghdnl-1,Endothelial Cells
dnngkkpl-1,Endothelial Cells
dnnjafnl-1,Natural Killer (NK) cells
dnnmnpce-1,Endothelial Cells
dnnofila-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnnpophg-1,Endothelial Cells
dnobjfha-1,Fibroblasts / Myofibroblasts (Stromal cells)
dnogfehl-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnogmkcp-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnohjpag-1,Anti-inflammatory Macrophages (M2-like)
dnohoojb-1,Cytotoxic/NK-like T cells
dnoiannl-1,CD4+ T cells (naive/central memory)
dnoiejfm-1,Smooth Muscle Cells
dnonfhlc-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnonphmb-1,Smooth Muscle Cells
dnopejjl-1,CD8+ Cytotoxic T cells
dnopigbp-1,Endothelial Cells
dnpfaeak-1,Fibroblasts / Myofibroblasts (Stromal cells)
dnphngmc-1,Smooth Muscle Cells
dnpjlooa-1,Smooth Muscle Cells
dnpmnokk-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnpndnmi-1,Smooth Muscle Cells (and/or Myofibroblasts)
dnpogngb-1,Smooth Muscle Cells (and/or Myofibroblasts)
doabnfdo-1,Anti-inflammatory Macrophages (M2-like)
doacbgeh-1,B cells
doacfmbh-1,Smooth Muscle Cells (and/or Myofibroblasts)
doadkbcf-1,Smooth Muscle Cells (and/or Myofibroblasts)
doadnnei-1,Smooth Muscle Cells (and/or Myofibroblasts)
doafdnde-1,Fibroblasts (Stromal cells)
doahoile-1,Macrophages
doaiiicj-1,Macrophages
doaijmbo-1,CD4+ T cells (naive/central memory)
doajjcbn-1,Macrophages
doajkekk-1,Natural Killer (NK) cells
doajngcm-1,Smooth Muscle Cells (and/or Myofibroblasts)
doajpmko-1,Cytotoxic/NK-like T cells
doakcclh-1,B cells
doakegkc-1,Anti-inflammatory Macrophages (M2-like)
doalniop-1,Macrophages
doamdake-1,B cells
doanfggb-1,B cells
doaomipo-1,CD4+ T cells (naive/central memory)
doappfni-1,Fibroblasts / Myofibroblasts (Stromal cells)
dobaegif-1,Fibroblasts (Stromal cells)
dobblnmh-1,Possible Mast Cells / Neuroendocrine-like
dobdamcf-1,Cytotoxic/NK-like T cells
dobddkgj-1,Smooth Muscle Cells (and/or Myofibroblasts)
dobdipme-1,B cells
dobhjdem-1,Fibroblasts (Stromal cells)
dobhlfhh-1,Smooth Muscle Cells
dobjaibl-1,CD8+ Cytotoxic T cells
doblooej-1,Natural Killer (NK) cells
dobndlbf-1,Smooth Muscle Cells (and/or Myofibroblasts)
dobomenm-1,Possible Mast Cells / Neuroendocrine-like
dobooinl-1,Possible Mast Cells / Neuroendocrine-like
docacmhf-1,Smooth Muscle Cells (and/or Myofibroblasts)
docbbbij-1,B cells
docbijhd-1,Smooth Muscle Cells (and/or Myofibroblasts)
doccadpo-1,CD8+ Cytotoxic T cells
docccmck-1,Possible Mast Cells / Neuroendocrine-like
docdgefp-1,Smooth Muscle Cells (and/or Myofibroblasts)
docfboid-1,Possible Mast Cells / Neuroendocrine-like
docfmkfb-1,Smooth Muscle Cells (and/or Myofibroblasts)
docgebpl-1,CD4+ T cells (naive/central memory)
docgnook-1,Possible Mast Cells / Neuroendocrine-like
docifbph-1,B cells
dociggdl-1,B cells
docmphnb-1,CD4+ T cells (naive/central memory)
docphfnl-1,B cells
dodadpko-1,Smooth Muscle Cells (and/or Myofibroblasts)
dodamlag-1,CD8+ Cytotoxic T cells
dodaoenf-1,CD8+ Cytotoxic T cells
dodbdiln-1,Plasma Cells (differentiated B cells)
dodbjkbj-1,Cytotoxic/NK-like T cells
dodckipk-1,Plasma Cells (differentiated B cells)
doddokgh-1,CD4+ T cells (naive/central memory)
dodfofhb-1,Cytotoxic/NK-like T cells
dodfpede-1,Smooth Muscle Cells (and/or Myofibroblasts)
dodghpfo-1,CD8+ Cytotoxic T cells
dodglicc-1,Fibroblasts (Stromal cells)
dodgmmjp-1,Smooth Muscle Cells (and/or Myofibroblasts)
dodiblca-1,Fibroblasts (Stromal cells)
dodiceil-1,Fibroblasts (Stromal cells)
dodjgndj-1,Plasma Cells (differentiated B cells)
dodkjpbd-1,Possible Mast Cells / Neuroendocrine-like
dodkmcpg-1,Fibroblasts / Myofibroblasts (Stromal cells)
dodmioao-1,Possible Mast Cells / Neuroendocrine-like
dodopikk-1,Plasma Cells (differentiated B cells)
doeajklb-1,Possible Mast Cells / Neuroendocrine-like
doeekejl-1,Possible Mast Cells / Neuroendocrine-like
doeepimh-1,Naive/Central Memory T cells
doeheojj-1,Possible Mast Cells / Neuroendocrine-like
doehfjoi-1,B cells
doehobgo-1,B cells
doekcfik-1,CD4+ T cells (naive/central memory)
doepbfdn-1,Smooth Muscle Cells (and/or Myofibroblasts)
doepjick-1,Smooth Muscle Cells (and/or Myofibroblasts)
doepmdbj-1,Cytotoxic/NK-like T cells
doeppgoo-1,Macrophages (possibly FCGR1A+ subset)
dofbcmon-1,Smooth Muscle Cells (and/or Myofibroblasts)
dofbhgeg-1,Cytotoxic/NK-like T cells
dofdfmef-1,B cells
dofehkck-1,Possible Mast Cells / Neuroendocrine-like
dofgellp-1,Macrophages (possibly FCGR1A+ subset)
dofhmnhb-1,Cytotoxic/NK-like T cells
dofigbni-1,Monocytes (classical CD14+)
dofkmoib-1,CD4+ T cells (naive/central memory)
dofmhmkb-1,CD14+ Monocytes / Macrophages
dofnbdjl-1,Naive/Central Memory T cells
dofodbie-1,CD8+ Cytotoxic T cells
dofpaonl-1,Cytotoxic/NK-like T cells
dogafhkd-1,Anti-inflammatory Macrophages (M2-like)
dogclpom-1,B cells
dogdjmhj-1,Smooth Muscle Cells (and/or Myofibroblasts)
doghlmdj-1,Fibroblasts (Stromal cells)
doglmain-1,CD4+ T cells (naive/central memory)
dogomldo-1,Anti-inflammatory Macrophages (M2-like)
dogpmock-1,CD4+ T cells (naive/central memory)
dohajeec-1,Fibroblasts (Stromal cells)
dohandmk-1,Possible Mast Cells / Neuroendocrine-like
dohbaodh-1,B cells
dohfnepf-1,Smooth Muscle Cells
dohgelbo-1,CD4+ T cells (naive/central memory)
dohhbhpm-1,CD14+ Monocytes / Macrophages
dohhhebd-1,Possible Mast Cells / Neuroendocrine-like
dohhlnho-1,Possible Mast Cells / Neuroendocrine-like
dohjgdde-1,Fibroblasts (Stromal cells)
dohkilca-1,Cytotoxic/NK-like T cells
dohlkihb-1,Fibroblasts (Stromal cells)
dohmfbfn-1,Smooth Muscle Cells
dohncfla-1,CD4+ T cells (naive/central memory)
dohnhnaf-1,B cells
dohpfgdf-1,CD4+ T cells (naive/central memory)
doicgflc-1,Naive/Central Memory T cells
doickmho-1,Smooth Muscle Cells (and/or Myofibroblasts)
doidpcga-1,Fibroblasts (Stromal cells)
doiebmfa-1,CD14+ Monocytes / Macrophages
doifcbnh-1,Smooth Muscle Cells (and/or Myofibroblasts)
doihpfpn-1,Fibroblasts / Myofibroblasts (Stromal cells)
doijlloe-1,Smooth Muscle Cells (and/or Myofibroblasts)
doikflnd-1,Anti-inflammatory Macrophages (M2-like)
doikihcp-1,Smooth Muscle Cells
doilmiip-1,Smooth Muscle Cells
doineddg-1,Fibroblasts (Stromal cells)
dojfkbhi-1,Smooth Muscle Cells (and/or Myofibroblasts)
dojhcbjp-1,Fibroblasts (Stromal cells)
dojhjphi-1,Fibroblasts (Stromal cells)
dojhngfa-1,CD4+ T cells (naive/central memory)
dojikfkh-1,Fibroblasts (Stromal cells)
dojimell-1,CD8+ Cytotoxic T cells
dojinncl-1,Endothelial Cells
dojkcond-1,Fibroblasts (Stromal cells)
dojleghd-1,Endothelial Cells
dojmjiic-1,Endothelial Cells
dojnajoi-1,Endothelial Cells
dojpbahp-1,Fibroblasts (Stromal cells)
dokagclh-1,Naive/Central Memory T cells
dokahmbk-1,Fibroblasts (Stromal cells)
dokcinmb-1,Endothelial Cells
dokcnmik-1,Naive/Central Memory T cells
dokhadel-1,Naive/Central Memory T cells
dokhfklf-1,CD4+ T cells (naive/central memory)
dokhjmno-1,Fibroblasts (Stromal cells)
dokilkld-1,Endothelial Cells
doklbebe-1,CD8+ Cytotoxic T cells
dokliibj-1,B cells
dokmeegg-1,Naive/Central Memory T cells
dokncmhl-1,Endothelial Cells
dokpkfbe-1,Possible Mast Cells / Neuroendocrine-like
dolambmk-1,CD4+ T cells (naive/central memory)
dolaogdk-1,B cells
dolbagoi-1,CD4+ T cells (naive/central memory)
dolbpdne-1,Endothelial Cells
dolcdfog-1,Endothelial Cells
dolchhgi-1,CD8+ Cytotoxic T cells
dolcnpbn-1,Possible Mast Cells / Neuroendocrine-like
dolfdpen-1,Fibroblasts (Stromal cells)
dolgcpdi-1,Fibroblasts (Stromal cells)
dolgfhea-1,CD4+ T cells (naive/central memory)
dolgplmc-1,Fibroblasts (Stromal cells)
dolhakke-1,Fibroblasts (Stromal cells)
dolhdklj-1,Natural Killer (NK) cells
dolimpph-1,Naive/Central Memory T cells
dolkcchk-1,CD4+ T cells (naive/central memory)
dollfdpc-1,CD4+ T cells (naive/central memory)
dolnimbe-1,Fibroblasts (Stromal cells)
dolpcomi-1,B cells
domacboh-1,CD4+ T cells (naive/central memory)
domcnbki-1,Possible Mast Cells / Neuroendocrine-like
domddkdd-1,CD4+ T cells (naive/central memory)
domedcpc-1,CD4+ T cells (naive/central memory)
domgfaoo-1,CD4+ T cells (naive/central memory)
domgkjec-1,Naive/Central Memory T cells
domgnako-1,CD4+ T cells (naive/central memory)
domhbegk-1,CD4+ T cells (naive/central memory)
domhholc-1,Possible Mast Cells / Neuroendocrine-like
domhkfmo-1,Possible Mast Cells / Neuroendocrine-like
domjcmcf-1,Possible Mast Cells / Neuroendocrine-like
domjmjfl-1,Cytotoxic/NK-like T cells
domjojdi-1,CD4+ T cells (naive/central memory)
domkcmba-1,Fibroblasts (Stromal cells)
domkomhd-1,Macrophages (possibly FCGR1A+ subset)
